"GeneID","GeneName","baseMean","log2FoldChange_raw","log2FoldChange","lfcSE","stat","pvalue","padj","FDRRegulation","ThresholdRegulation"
"ENSMUSG00000078377","Gm4294",41.0124513573798,-8.82489350298136,-9.57109407653619,2.9964626531168,-6.26033348189791,3.84155078548944e-10,4.60453211727502e-06,"FDR down","Down"
"ENSMUSG00000007653","Gabrb2",2052.38766522746,0.51483798845057,0.487042829190075,0.0863045362920628,6.1290507421793,8.84049306014189e-10,4.60453211727502e-06,"FDR up","Not significant"
"ENSMUSG00000064351","mt-Co1",419076.73998697,-0.514941354222189,-0.485275838931472,0.084856198138655,-6.22920537448897,4.68806896902388e-10,4.60453211727502e-06,"FDR down","Not significant"
"ENSMUSG00000023036","Pcdhgc4",3099.05100178403,-0.471799949666772,-0.446756214333921,0.0784538396903574,-6.17214097333349,6.73713872247929e-10,4.60453211727502e-06,"FDR down","Not significant"
"ENSMUSG00000038274","Fau",2798.1140659192,-0.436110303180771,-0.412622273036626,0.073390802879171,-6.09853152308859,1.07047289656275e-09,4.60453211727502e-06,"FDR down","Not significant"
"ENSMUSG00000090381","Gm6158",14.8117314437394,-7.35847302078254,-7.87641120732045,2.72027213135308,-5.67483394184328,1.38823254853748e-08,4.34271403128657e-05,"FDR down","Down"
"ENSMUSG00000102070","Gm28661",110271.846332183,-0.606834364078842,-0.567470119183581,0.110651687967652,-5.67175178476637,1.41344670195778e-08,4.34271403128657e-05,"FDR down","Down"
"ENSMUSG00000047215","Rpl9",5297.27305807421,-0.558656980404567,-0.520789509032796,0.104465187003285,-5.53783654017093,3.06230864869618e-08,8.2326340134386e-05,"FDR down","Down"
"ENSMUSG00000061808","Ttr",249.176646103074,-5.72094907440688,-0.0136435527440126,0.0719145587204044,-5.49727262607006,3.85710157029406e-08,9.21718705247938e-05,"FDR down","Not significant"
"ENSMUSG00000093674","Rpl41",6195.8425442327,-0.43094638644819,-0.399452102857722,0.0845747145090582,-5.28259356908067,1.27367745684034e-07,0.000256746678705408,"FDR down","Not significant"
"ENSMUSG00000037071","Scd1",3617.19640114031,-0.403398878391704,-0.373164491612292,0.0791973034412475,-5.27699982491408,1.31316011798925e-07,0.000256746678705408,"FDR down","Not significant"
"ENSMUSG00000064370","mt-Cytb",126042.607903085,-0.533338960652404,-0.503373410152807,0.105713691510826,-5.24206299601352,1.58791134490933e-07,0.000284593410791375,"FDR down","Down"
"ENSMUSG00000064341","mt-Nd1",98249.9735835878,-0.584043179530896,-0.550922288650967,0.117103923861383,-5.19380413442708,2.06039910086801e-07,0.000340869257402832,"FDR down","Down"
"ENSMUSG00000044533","Rps2",6848.70881091751,-0.440137022996495,-0.40625261517586,0.0885829335213728,-5.16308911338439,2.42907426952726e-07,0.000373157859390877,"FDR down","Not significant"
"ENSMUSG00000057036","Gm7536",1824.68282812925,-0.479020383751966,-0.439658107485496,0.0993937800683372,-5.02708946684006,4.97980060908183e-07,0.000714003811330152,"FDR down","Not significant"
"ENSMUSG00000045886","Pam16l",179.806393945815,-1.19747164409243,-1.08950413415259,0.255742015882453,-4.92475400032816,8.44665471800569e-07,0.00113538876887593,"FDR down","Down"
"ENSMUSG00000063457","Rps15",5127.32524343901,-0.387363481413496,-0.354261854549156,0.0825335934773725,-4.89123462627556,1.00205429024591e-06,0.00126771656590111,"FDR down","Not significant"
"ENSMUSG00000059325","Hopx",688.914798274228,-0.960441110636513,-0.866886748422465,0.213784319456134,-4.75052109365062,2.02893127849792e-06,0.00229664342140289,"FDR down","Down"
"ENSMUSG00000062661","Ncs1",6599.90394556497,-0.390211055562672,-0.354917907800624,0.0857716407225106,-4.75610160704961,1.97367159413226e-06,0.00229664342140289,"FDR down","Not significant"
"ENSMUSG00000029638","Glcci1",438.047616272156,0.673185727752405,0.607742501723444,0.150983531785293,4.70613424212715,2.52458308023223e-06,0.00263863556915778,"FDR up","Up"
"ENSMUSG00000047126","Cltc",12383.4090021129,0.43004764389756,0.389830758386404,0.0959341704474238,4.7019858876227,2.57643311258258e-06,0.00263863556915778,"FDR up","Not significant"
"ENSMUSG00000045128","Rpl18a",3608.81564758904,-0.442951600814549,-0.400557882380496,0.099468192114972,-4.67681796517203,2.91360679398867e-06,0.00284831551446883,"FDR down","Not significant"
